ProductID,ProductName,Category,CostPrice,SellingPrice
P00001,Product 1,Furniture,414.33,591.9
P00002,Product 2,Furniture,215.19,307.42
P00003,Product 3,Grocery,222.87,318.39
P00004,Product 4,Clothing,1322.4,1889.15
P00005,Product 5,Furniture,177.38,253.4
P00006,Product 6,Clothing,881.26,1258.94
P00007,Product 7,Clothing,837.77,1196.82
P00008,Product 8,Electronics,287.46,410.66
P00009,Product 9,Grocery,537.59,767.98
P00010,Product 10,Clothing,562.68,803.83
P00011,Product 11,Furniture,1258.84,1798.34
P00012,Product 12,Clothing,1045.24,1493.2
P00013,Product 13,Grocery,442.9,632.71
P00014,Product 14,Clothing,43.57,62.24
P00015,Product 15,Electronics,510.55,729.36
P00016,Product 16,Clothing,1033.44,1476.35
P00017,Product 17,Electronics,1191.33,1701.9
P00018,Product 18,Electronics,233.72,333.89
P00019,Product 19,Grocery,635.8,908.28
P00020,Product 20,Grocery,1130.8,1615.43
P00021,Product 21,Furniture,1074.54,1535.06
P00022,Product 22,Furniture,42.41,60.58
P00023,Product 23,Clothing,149.52,213.6
P00024,Product 24,Grocery,1329.4,1899.15
P00025,Product 25,Electronics,988.18,1411.68
P00026,Product 26,Electronics,1201.76,1716.8
P00027,Product 27,Grocery,675.84,965.48
P00028,Product 28,Clothing,706.71,1009.58
P00029,Product 29,Clothing,262.67,375.24
P00030,Product 30,Electronics,967.92,1382.75
P00031,Product 31,Electronics,941.45,1344.93
P00032,Product 32,Electronics,189.71,271.01
P00033,Product 33,Grocery,820.12,1171.6
P00034,Product 34,Clothing,173.87,248.38
P00035,Product 35,Clothing,938.13,1340.19
P00036,Product 36,Furniture,701.96,1002.8
P00037,Product 37,Electronics,705.8,1008.29
P00038,Product 38,Clothing,119.01,170.02
P00039,Product 39,Furniture,776.66,1109.51
P00040,Product 40,Grocery,823.93,1177.04
P00041,Product 41,Furniture,1061.59,1516.56
P00042,Product 42,Clothing,647.4,924.86
P00043,Product 43,Electronics,1365.05,1950.07
P00044,Product 44,Clothing,1273.97,1819.96
P00045,Product 45,Grocery,105.22,150.31
P00046,Product 46,Furniture,36.61,52.3
P00047,Product 47,Electronics,1008.18,1440.26
P00048,Product 48,Grocery,200.07,285.81
P00049,Product 49,Clothing,992.03,1417.19
P00050,Product 50,Grocery,834.73,1192.47
P00051,Product 51,Furniture,1183.55,1690.78
P00052,Product 52,Electronics,41.05,58.64
P00053,Product 53,Electronics,1275.39,1821.99
P00054,Product 54,Electronics,516.55,737.93
P00055,Product 55,Electronics,1051.51,1502.16
P00056,Product 56,Furniture,599.19,855.98
P00057,Product 57,Grocery,1149.72,1642.46
P00058,Product 58,Furniture,1159.25,1656.07
P00059,Product 59,Grocery,416.67,595.25
P00060,Product 60,Grocery,639.51,913.58
P00061,Product 61,Furniture,267.94,382.77
P00062,Product 62,Grocery,1093.51,1562.16
P00063,Product 63,Grocery,386.51,552.16
P00064,Product 64,Grocery,702.09,1002.99
P00065,Product 65,Grocery,1050.97,1501.39
P00066,Product 66,Clothing,696.83,995.47
P00067,Product 67,Furniture,269.64,385.2
P00068,Product 68,Grocery,1045.78,1493.97
P00069,Product 69,Clothing,1362.31,1946.15
P00070,Product 70,Electronics,919.37,1313.38
P00071,Product 71,Grocery,1190.49,1700.7
P00072,Product 72,Clothing,733.05,1047.21
P00073,Product 73,Electronics,1210.25,1728.93
P00074,Product 74,Furniture,397.82,568.32
P00075,Product 75,Furniture,1067.94,1525.63
P00076,Product 76,Electronics,927.2,1324.57
P00077,Product 77,Grocery,624.54,892.2
P00078,Product 78,Furniture,1250.78,1786.83
P00079,Product 79,Clothing,164.55,235.07
P00080,Product 80,Clothing,301.98,431.4
P00081,Product 81,Clothing,730.39,1043.42
P00082,Product 82,Electronics,673.88,962.68
P00083,Product 83,Clothing,965.22,1378.89
P00084,Product 84,Clothing,598.3,854.71
P00085,Product 85,Furniture,44.7,63.86
P00086,Product 86,Electronics,842.77,1203.96
P00087,Product 87,Grocery,211.14,301.63
P00088,Product 88,Furniture,1101.03,1572.9
P00089,Product 89,Grocery,321.28,458.97
P00090,Product 90,Grocery,551.31,787.58
P00091,Product 91,Clothing,493.06,704.37
P00092,Product 92,Electronics,75.77,108.24
P00093,Product 93,Clothing,562.7,803.86
P00094,Product 94,Furniture,1161.94,1659.92
P00095,Product 95,Electronics,1125.47,1607.81
P00096,Product 96,Electronics,179.82,256.89
P00097,Product 97,Grocery,48.95,69.93
P00098,Product 98,Electronics,588.47,840.67
P00099,Product 99,Clothing,135.84,194.05
P00100,Product 100,Grocery,446.73,638.18
P00101,Product 101,Grocery,699.26,998.94
P00102,Product 102,Clothing,1054.44,1506.35
P00103,Product 103,Clothing,723.29,1033.27
P00104,Product 104,Clothing,1234.2,1763.14
P00105,Product 105,Furniture,358.67,512.38
P00106,Product 106,Furniture,803.41,1147.73
P00107,Product 107,Clothing,505.5,722.15
P00108,Product 108,Grocery,803.56,1147.95
P00109,Product 109,Grocery,577.93,825.62
P00110,Product 110,Electronics,888.24,1268.92
P00111,Product 111,Electronics,1323.01,1890.02
P00112,Product 112,Electronics,1132.87,1618.39
P00113,Product 113,Grocery,817.96,1168.51
P00114,Product 114,Clothing,1144.96,1635.66
P00115,Product 115,Furniture,409.1,584.43
P00116,Product 116,Grocery,1118.98,1598.55
P00117,Product 117,Grocery,1156.53,1652.18
